Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,940,89.86,87.03,18.58,89.69,62.67,21.06,76.7,44.36,8.09,4.36,0,2.23,1.28,0.21,0.64,3.72,8.4,13.83,7.45,4.04,4.89,0.43,12.66,6.49,2.87,1.49,2.87,2.34,4.79,4.26,0.43,0,0,0,9.36,0.11,0.11,0.11,0.32,8.94,2.02,1.6,0.96,1.49,1.91,1.17,2.66,1.38,0.32,0.74,1.06,0.43,0.21,0.11,0.21,10.11,5.43,2.13,1.28,1.7,0.64,2.87,7.55,2.23,13.62,1.81,7.55,4.89,3.19,5,0.53,0.74,0,0.32,0.64,0,0,0.32,0.21,0.11,19.36,6.17,5,0.32,0,0.11,0.53,2.02,1.28,1.38,1.91,0.64
1,919,89.78,87.56,20.22,90.45,61.27,21.55,78.45,45.38,8.27,4.46,0,2.29,1.31,0.22,0.65,3.81,8.6,14.15,7.62,4.13,5.01,0.44,12.95,6.64,2.94,1.52,2.94,2.39,4.9,4.35,0.44,0,0,0,9.58,0.11,0.11,0.11,0.33,9.14,2.07,1.63,0.98,1.52,1.96,1.2,2.72,1.41,0.33,0.76,1.09,0.44,0.22,0.11,0.22,10.34,5.55,2.18,1.31,1.74,0.65,2.94,7.73,2.29,13.93,1.85,7.73,5.01,3.26,5.11,0.54,0.76,0,0.33,0.65,0,0,0.33,0.22,0.11,22.09,6.31,5.11,0.33,0,0.11,0.54,2.07,1.31,1.41,1.96,2.94
2,156,92.19,52.56,23.51,82.96,22.29,16.03,78.85,47.44,10.26,5.13,3.21,0,0.64,0,1.28,5.13,8.33,16.03,7.05,2.56,4.49,0.64,9.62,7.69,3.21,1.28,5.13,3.21,3.21,3.21,0,0,0,0,5.77,0,0,0,0,7.05,0.64,1.92,0.64,1.28,1.28,1.92,1.28,0.64,0,0.64,0,0,0,0,0,4.49,0,3.21,1.28,1.28,0,1.92,6.41,3.21,11.54,0.64,8.33,3.21,5.13,0.64,0,7.69,0,0,0,0,0,0,0,0,14.74,5.13,4.49,0,0,0,0,0,1.28,0,0,3.85
3,199,80.34,94.03,16.16,99,13.27,20.1,83.92,44.22,10.05,5.53,0,2.51,3.02,0,0,4.52,6.53,12.56,11.06,1.51,5.03,0,16.58,3.52,2.01,0,1.01,3.02,10.05,10.05,0,0,0,0,10.55,0,0.5,0,0,11.06,5.53,3.02,0.5,0.5,1.01,0.5,1.51,1.01,0,0.5,3.52,3.02,0,0,0.5,8.54,5.53,2.01,2.51,1.01,0,1.01,11.56,3.02,9.55,1.01,6.03,2.51,7.04,6.53,0,3.02,0.5,0,0.5,0,0,0,0.5,0,24.62,10.05,1.51,0,0,0,3.52,1.01,0,0.5,2.01,6.03
4,416,81.07,62.28,20.73,78.6,32,20.91,79.57,48.56,7.69,5.05,2.88,0.24,1.44,0,0.48,2.64,8.65,13.7,11.3,2.88,7.93,0.72,14.66,6.49,2.4,1.44,2.16,3.12,4.33,3.61,0.72,0.24,0.24,0.24,7.21,0.24,0.48,0,0,12.26,2.16,3.61,0.96,3.37,1.44,2.16,0.96,0.72,0,0,2.16,0.96,0.48,0.24,0,6.01,1.68,2.16,1.44,1.2,0,1.92,11.06,4.09,9.86,2.4,4.09,4.09,2.64,0.48,0.48,0.72,0,3.61,0,0,0,0,0,0,12.26,2.4,3.37,0,0,0,1.92,0.48,0,0.72,0.96,2.4
5,160,73.1,69.14,3.37,93.78,22.86,13.75,84.38,51.25,11.88,6.25,3.75,1.88,0,0,0.62,5.62,8.75,11.88,8.75,2.5,9.38,0,20,1.88,1.25,2.5,3.12,3.75,5.62,5,0.62,0,0.62,0,6.88,0,0,0,1.25,10,2.5,1.25,1.88,4.38,0.62,0,3.12,2.5,0,0,0.62,0,0,0,0.62,10.62,3.75,4.38,1.88,1.88,0,4.38,11.25,2.5,5.62,0.62,3.12,1.88,1.25,3.75,0,1.25,0.62,0.62,0,0,0,0,0,0,19.38,4.38,6.25,0,0,0.62,2.5,1.25,0,0.62,1.25,2.5
6,433,53.14,57.34,23.31,99,36.08,18.01,85.45,55.2,17.78,12.7,7.16,0.23,4.16,0,1.15,5.08,8.78,11.32,10.16,4.16,6.24,1.15,15.94,7.16,5.77,1.39,1.85,1.62,6.7,6.47,0.23,0,0,0,10.62,0.46,2.08,0,0,15.01,1.85,2.31,2.54,3.23,2.54,4.85,2.31,1.15,0,1.15,1.62,0,0.46,0.23,0.46,11.09,3.46,5.08,4.16,4.16,0,0.69,10.85,2.54,5.31,0.46,3.46,1.39,3.46,2.77,2.08,0,0,0,0.92,0,0.46,0.46,0,0,18.24,4.62,3.7,0.92,0,1.39,0.46,0.69,0.92,3,0.46,2.08
7,675,83.06,80.07,13.99,81.74,45,20.15,81.33,49.78,12.3,8.59,2.67,0.15,4.89,0.44,0.44,3.7,8.15,14.22,6.81,2.52,7.85,0,13.93,3.41,2.07,0.89,2.22,1.78,4.89,4,0.89,0,0.59,0.15,8.59,0,0.3,0.3,0.3,11.11,1.04,4,2.96,2.81,0.74,2.52,4.15,3.26,0.15,0.74,1.04,0.74,0.15,0,0,6.52,1.33,2.07,2.96,0.59,0,1.48,8.74,1.63,11.7,1.78,8.89,1.19,4,2.81,1.04,0.44,0,0,0.59,0,0,0.3,0.3,0,15.85,3.11,3.41,0.15,0,0,0,0.59,0,0.59,1.19,6.81
8,525,91.44,54.55,10.08,85.64,30.88,16.95,79.81,50.48,11.81,7.81,5.52,0,1.71,0.38,0.19,4,11.05,14.29,6.48,2.48,5.71,0.19,12.38,1.14,0.76,0.95,4.19,2.1,3.81,3.62,0.19,0,0.19,0,6.1,0.19,0.57,0.19,1.52,7.05,0.76,1.52,1.14,2.29,0.76,0.95,1.9,1.52,0.19,0.19,1.71,1.52,0,0,0,7.05,1.9,1.9,1.9,1.52,0,3.24,5.71,2.48,7.62,1.14,3.81,2.67,1.9,6.1,0.76,1.14,0,0.38,0,0,0,0,0,0,16.57,4.76,4.57,0.76,0,0,0.19,0.57,1.14,0.95,1.9,1.71
9,685,94.27,40.78,19.16,76.94,19.57,23.36,69.64,41.75,6.57,2.48,1.31,0,0.29,0.15,0.73,4.09,9.2,12.99,5.69,2.63,4.38,1.31,7.88,3.8,2.77,0.44,4.96,2.19,2.77,2.77,0,0,0,0,3.21,0,0.15,0,0.73,8.03,0.44,1.46,0.29,2.77,1.02,3.21,1.31,1.02,0,0.29,0.58,0.29,0.15,0,0.29,6.13,0.73,2.04,3.21,1.75,0,1.9,4.96,1.17,11.24,1.02,6.28,4.09,2.34,4.53,0.44,1.02,0.58,0,0.29,0,0.29,0,0,0,26.13,6.72,5.55,0.15,0.29,0,0.15,3.65,1.75,1.9,0.58,5.4
