,name,pledged,slug,source_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,friends,is_backing,is_starred,permissions,country,town,location_type,project_url,reward_url
0,The Curious Concepts Project,634.0,the-curious-concepts-project,https://www.kickstarter.com/discover/categories/art/illustration,True,False,NY,1367651037,1.0,634.0,domestic,,,,,US,Lockport,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
1,"E.T. The Extra-Terrestrial Atari ""30th Anniversary"" Poster",1016.0,et-the-extra-terrestrial-30th-anniversary-poster,https://www.kickstarter.com/discover/categories/art/illustration,True,False,TN,1367283633,1.0,1016.0,domestic,,,,,US,Nashville,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
2,Iconic New Orleans Fine Art Prints,945.0,iconic-new-orleans-fine-art-prints,https://www.kickstarter.com/discover/categories/art/illustration,True,False,LA,1368040821,1.0,945.0,domestic,,,,,US,New Orleans,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
3,Face of a DREAM...,5949.0,face-of-a-dream-0,https://www.kickstarter.com/discover/categories/art/illustration,True,False,MO,1368881143,1.0,5949.0,domestic,,,,,US,Kansas City,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
4,GO ZOMBIE! Zombie Portrait Print Project.,3662.0,go-zombie-zombie-portrait-print-project,https://www.kickstarter.com/discover/categories/art/illustration,True,False,England,1369699038,1.54685501,5664.58304662,domestic,,,,,GB,North Yorkshire,County,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
5,Denver ComicCon Print by Sobol and Kordos,561.0,denver-comiccon-print-by-sobol-and-kordos,https://www.kickstarter.com/discover/categories/art/illustration,True,False,FL,1368208080,1.0,561.0,domestic,,,,,US,Jacksonville,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
6,Pet Portraits! Immortalize your Best Friend in my book,3526.0,immortalize-your-best-friend-in-a-great-1-of-a-kin,https://www.kickstarter.com/discover/categories/art/illustration,True,False,GA,1370115217,1.0,3526.0,domestic,,,,,US,Marietta,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
7,Lucid dream: Fantasy portrait art.,370.0,lucid-dream-fantasy-portrait-art,https://www.kickstarter.com/discover/categories/art/illustration,True,False,England,1370120473,1.55326776,574.7090712,domestic,,,,,GB,Hereford,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
8,EclecDeck Transformation Playing Cards,5205.0,eclecdeck-transformation-playing-cards,https://www.kickstarter.com/discover/categories/art/illustration,True,False,CO,1370612330,1.0,5205.0,domestic,,,,,US,Denver,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
9,The Sportsmen of Oz Limited Edition Trading Card Set,1396.0,the-sportsmen-of-oz-limited-edition-trading-card-s,https://www.kickstarter.com/discover/categories/art/illustration,True,False,AZ,1370735138,1.0,1396.0,domestic,,,,,US,Scottsdale,Town,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project?ref=category_newest,https://www.kickstarter.com/projects/690850738/the-curious-concepts-project/rewards
