project_url,sentimen_score
0,2.5
1,2.454545455
2,2.5
3,3
4,0
5,2
6,3
7,2.666666667
8,2.833333333
9,2.571428571
10,3
11,2.833333333
12,2.5
13,3
14,2.571428571
15,2.909090909
16,2
17,3
18,2
19,2.75
20,2.25
21,2.5
22,2
23,2.666666667
24,3
25,2
26,3
27,2
28,3
29,3.1
30,2.571428571
31,3.25
32,3
33,2
34,1
35,1
36,2.102564103
37,2.5
38,3
39,3
40,3.5
41,3
42,2.444444444
43,1.857142857
44,2.5
45,3
46,2.5
47,3
48,1.5
49,1.666666667
50,2.25
51,1
52,2.5
53,3
54,2.5
55,2.222222222
56,2.75
57,3
58,1
59,2.555555556
60,3
61,2
62,3.5
63,2.4375
64,2.5
65,2.8
66,3
67,0
68,3
69,1
70,2
71,2.36
72,2
73,3
74,2.714285714
75,3
76,3
77,1.454545455
78,3.083333333
79,2.714285714
80,2.5
81,2.666666667
82,3
83,2.333333333
84,1
85,2.333333333
86,2.571428571
87,2.4
88,2.285714286
89,2.458333333
90,3
91,3
92,3
93,2.75
94,2.75
95,2.25
96,2
97,2.666666667
98,2
99,1.955555556
100,2
101,2.285714286
102,3.2
103,1
104,1.8
105,2.333333333
106,2.529411765
107,2.22
108,2
109,2.2
110,2.888888889
111,2.28
112,1.454545455
113,3
114,2
115,2.285714286
116,2.75
117,2
118,2.8
119,3
120,3
121,2.5
122,2.34
123,1.9
124,2.333333333
125,2.5
126,2.571428571
127,2.4
128,2.714285714
129,2.6
130,3
131,2.833333333
132,3
133,1.666666667
134,3.333333333
135,2.5
136,1.8
137,2.625
138,2.111111111
139,1
140,2.642857143
141,2.666666667
142,2.8
143,2.4
144,2.666666667
145,2.666666667
146,0
147,0
148,2.291666667
149,2.571428571
150,3.5
151,3
152,0
153,2.5
154,2.909090909
155,2.740740741
156,3.333333333
157,3
158,2.833333333
159,2.692307692
160,2
161,2
162,0
163,3
164,3
165,1.2
166,2
167,3.2
168,1
169,3
170,3.5
171,1.333333333
172,2.302325581
173,2.142857143
174,2.2
175,0
176,3
177,3
178,3
179,2.333333333
180,2.2
181,2.352941176
182,2.833333333
183,2.45
184,2.4
185,2.8
186,2
187,1.857142857
188,2.2
189,3
190,3
191,2.153846154
192,1.80952381
193,1.6
194,1.5
195,2.25
196,3
197,2.25
198,3
199,2
200,1
201,1
202,1.9
203,2
204,2
205,2.444444444
206,3
207,0
208,2.75
209,1.75
210,3
211,3
212,2.4375
213,2
214,3
215,3
216,3
217,3.166666667
218,2.36
219,0
220,3
221,2
222,0
223,2.5
224,3
225,3
226,2.75
227,3
228,3.5
229,2.14
230,0
231,2.5
232,2.8
233,2.086956522
234,1.5
235,3
236,2.833333333
237,2.3125
238,1.875
239,2
240,2.5
241,2.25
242,3
243,3
244,2.4
245,3
246,2.4
247,2.8
248,2.75
249,2.52
250,0
251,2
252,2
253,3
254,3
255,0
256,0
257,2.571428571
258,3.75
259,1
260,2.333333333
261,2
262,0
263,1
264,2.833333333
265,0
266,2
267,2
268,0
269,2.75
270,2
271,1.888888889
272,0
273,3
274,0
275,2.666666667
276,1.5
277,0
278,2.666666667
279,2
280,3
281,2
282,2.333333333
283,2.714285714
284,0
285,2.333333333
286,0
287,3
288,2.75
289,0
290,0
291,2
292,0
293,2.153846154
294,3
295,4
296,2.5
297,2.076923077
298,2.222222222
299,0
300,2
301,1
302,2.909090909
303,1.666666667
304,0
305,3
306,3
307,0
308,2.75
309,2.333333333
310,0
311,3.666666667
312,0
313,2.235294118
314,2.888888889
315,2.157894737
316,2.157894737
317,0
318,2.333333333
319,2.666666667
320,2.5
321,3
322,3
323,3
324,3
325,2.666666667
326,3
327,0
328,2.347826087
329,0
330,0
331,0
332,3
333,3.066666667
334,0
335,0
336,2
337,3
338,3
339,1.666666667
340,2.4
341,2.875
342,2.333333333
343,3
344,2
